tweet_id,entity,sentiment,text
10265,Xbox,Neutral,RT @user123: Anyone know the system requirements for Xbox
10065,Overwatch,Neutral,Comparing Overwatch pricing plans before deciding check http://t.co/abc123
10120,Google,Positive,"Google really outdid themselves this time, fantastic work ..."
10132,Google,Negative,Google has gone downhill these past few months !!!
10378,Cyberpunk2077,Negative,Not happy at all with how Cyberpunk2077 handled this ...
10026,Borderlands,Neutral,BORDERLANDS ANNOUNCED A NEW EVENT STARTING NEXT WEEK VIA @SOURCE
10287,Nvidia,Positive,"RT @user123: This is exactly why Nvidia is my favorite, pure quality !!!"
10111,Amazon,Irrelevant,RT @user123: Amazon came up on my timeline but I'm just here for the memes check http://t.co/abc123
10280,Nvidia,Positive,"@friendly_user Nvidia support team fixed my issue in minutes, awesome service ..."
10164,Microsoft,Positive,"Microsoft support team fixed my issue in minutes, awesome service check http://t.co/abc123"
10056,Overwatch,Negative,RT @USER123: OVERWATCH CUSTOMER SERVICE WAS UNHELPFUL HONESTLY LOLLL
10274,Xbox,Irrelevant,"JUST FINISHED A WORKOUT, FEELING GREAT TODAY VIA @SOURCE"
10155,Google,Irrelevant,"Just finished a workout, feeling great today via @source"
10346,CallOfDuty,Neutral,CallOfDuty released patch notes earlier today
10220,PlayStation5,Neutral,Reading through the PlayStation5 changelog before the weekend
10393,Cyberpunk2077,irrelevant,"Watching a movie tonight, nothing to do with Cyberpunk2077 ..."
10118,Amazon,Irrelevant,Weather has been so weird all week here ...
10057,Overwatch,Negative,RT @user123: Thinking about quitting Overwatch for good after this mess #brand
10327,CallOfDuty,Positive,Can't stop talking about how goooood CallOfDuty is right now #brand
10301,Nvidia,Neutral,@friendly_user Does Nvidia work on the older hardware models
10052,Overwatch,Negative,"Worst experience with Overwatch support, still unresolved !!!"
10138,Google,Negative,"Worst experience with Google support, still unresolved #gaming"
10397,Cyberpunk2077,Irrelevant,CYBERPUNK2077 CAME UP ON MY TIMELINE BUT I'M JUST HERE FOR THE MEMES #GAMING
10391,Cyberpunk2077,Irrelevant,@friendly_user Finally cleaned my room after putting it off forever check http://t.co/abc123
10030,Borderlands,Irrelevant,RT @user123: Can't decide what to cook for dinner tonight
10295,Nvidia,Negative,"I regret spending money on Nvidia, total waste #gaming"
10253,Xbox,Negative,"Worst experience with Xbox support, still unresolved lolll"
10194,Microsoft,Irrelevant,Grabbed coffee this morning then headed to work !!!
10231,PlayStation5,Irrelevant,Finally cleaned my room after putting it off forever !!!
10154,Google,Irrelevant,@friendly_user Can't decide what to cook for dinner tonight check http://t.co/abc123
10228,PlayStation5,Neutral,@friendly_user Does PlayStation5 work on the older hardware models lolll
10014,Borderlands,Negative,Not happy at all with how Borderlands handled this #gaming
10241,Xbox,Positive,
10357,CallOfDuty,Irrelevant,Weather has been sooo weird all week here lolll
10060,Overwatch,Neutral,Overwatch announced a new event starting next week via @source
10360,Cyberpunk2077,Positive,"@friendly_user This is exactly why Cyberpunk2077 is my favorite, pure quality !!!"
10051,Overwatch,Negative,"OVERWATCH KEEPS CRASHING ON ME, SO FRUSTRATING !!!"
10207,PlayStation5,Positive,"@friendly_user PlayStation5 support team fixed my issue in minutes, awesome service"
10235,PlayStation5,Irrelevant,Can't decide what to cook for dinner tonight
10089,Amazon,Positive,RT @user123: Can't stop talking about how good Amazon is right now lolll
10187,Microsoft,Neutral,Comparing Microsoft pricing plans before deciding check http://t.co/abc123
10177,Microsoft,Negative,Why does Microsoft keep charging me for things I didn't buy
10246,Xbox,Positive,@FRIENDLY_USER BEEN USING XBOX ALL WEEK AND IT KEEPS GETTING BETTER #BRAND
10305,Nvidia,Neutral,Nvidia posted an update on their roadmap today via @source
10109,Amazon,Neutral,Amazon stock moved slightly after the earnings call ...
10364,Cyberpunk2077,Positive,"This is exactly why Cyberpunk2077 is my favorite, pure quality !!!"
10129,Google,Positive,Huge shoutout to Google for such an amazing release check http://t.co/abc123
10237,PlayStation5,Irrelevant,"RT @user123: Watching a movie tonight, nothing to do with PlayStation5 check http://t.co/abc123"
10028,Borderlands,Neutral,RT @user123: Comparing Borderlands pricing plans before deciding check http://t.co/abc123
10041,Overwatch,Positive,@friendly_user Huge shoutout to Overwatch for such an amazing release #gaming
10003,Borderlands,Positive,@FRIENDLY_USER HUGE SHOUTOUT TO BORDERLANDS FOR SUCH AN AMAZING RELEASE
10022,Borderlands,Neutral,RT @user123: Borderlands released patch notes earlier today #gaming
10159,Google,Irrelevant,"Random thought, pineapple does not belong on pizza"
10372,Cyberpunk2077,Negative,"I regret spending money on Cyberpunk2077, total waste via @source"
10210,PlayStation5,Negative,"RT @user123: PlayStation5 keeps crashing on me, so frustrating via @source"
10216,PlayStation5,Negative,"@friendly_user I regret spending money on PlayStation5, total waste check http://t.co/abc123"
10268,Xbox,Neutral,Reading through the Xbox changelog before the weekend
10114,Amazon,Irrelevant,CAN'T DECIDE WHAT TO COOK FOR DINNER TONIGHT !!!
10398,Cyberpunk2077,Irrelevant,@friendly_user My cat knocked over a plant again !!!
10080,Amazon,Positive,Huge shoutout to Amazon for such an amazing release #gaming
10148,Google,Neutral,Google announced a new event starting next week !!!
10361,Cyberpunk2077,Positive,"RT @user123: I absolutely love Cyberpunk2077, best experience ever! !!!"
10368,Cyberpunk2077,Positive,Been using Cyberpunk2077 all week and it keeps getting better lolll
10331,CallOfDuty,Negative,RT @user123: CallOfDuty is lagging so bad I can barely use it #brand
10090,Amazon,Negative,Not happy at all with how Amazon handled this #brand
10330,CallOfDuty,Negative,CallOfDuty customer service was unhelpful honestly ...
10333,CallOfDuty,Negative,RT @user123: CallOfDuty is lagging so bad I can barely use it via @source
10238,PlayStation5,Irrelevant,@friendly_user Anyone else stuck in traffic right now lol #gaming
10332,CallOfDuty,Negative,"CallOfDuty keeps crashing on me, so frustrating"
10292,Nvidia,Negative,
10385,Cyberpunk2077,Neutral,@friendly_user Cyberpunk2077 posted an update on their roadmap today check http://t.co/abc123
10145,Google,Neutral,@friendly_user Google announced a new event starting next week
10170,Microsoft,Negative,Microsoft has gone downhill these past few months check http://t.co/abc123
10232,PlayStation5,Irrelevant,"RT @USER123: RANDOM THOUGHT, PINEAPPLE DOES NOT BELONG ON PIZZA !!!"
10374,Cyberpunk2077,Negative,Cyberpunk2077 has gone downhill these past few months via @source
10221,PlayStation5,Neutral,RT @user123: Looking for reviews on the latest PlayStation5 release
10059,Overwatch,Negative,Overwatch is lagging so bad I can barely use it
10362,Cyberpunk2077,Positive,"Genuinely happy with Cyberpunk2077 lately, well done team"
10074,Overwatch,Irrelevant,WEEKEND PLANS INVOLVE ABSOLUTELY NOTHING AND I LOVE IT LOLLL
10079,Overwatch,Irrelevant,Weekend plans involve absolutely nothing and I love it !!!
10270,Xbox,Irrelevant,Xbox came up on my timeline but I'm just here for the memes
10098,Amazon,Negative,Not happy at all with how Amazon handled this
10081,Amazon,Positive,"I absolutely love Amazon, best experience ever! #brand"
10050,Overwatch,Negative,Overwatch customer service was unhelpful honestly ...
10244,Xbox,Positive,"Xbox just made my day, this update is incredible honestly"
10358,CallOfDuty,Irrelevant,"Random thought, pineapple does not belong on pizza check http://t.co/abc123"
10147,Google,Neutral,Looking for reviews on the latest Google release ...
10386,Cyberpunk2077,Neutral,RT @user123: Comparing Cyberpunk2077 pricing plans before deciding lolll
10053,Overwatch,Negative,"Overwatch removed the feature everyone liked, terrible decision ..."
